date,device,failure,metric1,metric2,metric3,metric4,metric5,metric6,metric7,metric8,metric9
1/1/2015,S1F01085,0,215630672,55,0,52,6,407438,0,0,7
1/1/2015,S1F0166B,0,61370680,0,3,0,6,403174,0,0,0
1/1/2015,S1F01E6Y,0,173295968,0,0,0,12,237394,0,0,0
1/1/2015,S1F01JE0,0,79694024,0,0,0,6,410186,0,0,0
1/1/2015,S1F01R2B,0,135970480,0,0,0,15,313173,0,0,3
1/1/2015,S1F01TD5,0,68837488,0,0,41,6,413535,0,0,1
1/1/2015,S1F01XDJ,0,227721632,0,0,0,8,402525,0,0,0
1/1/2015,S1F023H2,0,141503600,0,0,1,19,494462,16,16,3
1/1/2015,S1F02A0J,0,8217840,0,1,0,14,311869,0,0,0
1/1/2015,S1F02DZ2,0,116440096,0,378,9,9,407905,0,0,170
1/1/2015,S1F02EVN,0,112348104,0,0,0,7,388146,0,0,1
1/1/2015,S1F02L38,0,223938928,0,0,0,2,215169,0,0,8
1/1/2015,S1F02MGA,0,44399688,0,266,1,6,399286,0,0,2269
1/1/2015,S1F02P76,0,104131304,1536,0,175,11,301679,0,0,0
1/1/2015,S1F02VAX,0,61019512,168,2,521,3,380496,0,0,3
1/1/2015,S1F02WFT,0,44348552,6150,14,1074,11,249515,0,0,21
1/1/2015,S1F0318A,0,35018688,0,0,0,9,394890,0,0,5
1/1/2015,S1F0322R,0,34540712,0,0,0,9,411399,0,0,0
1/1/2015,S1F0330P,0,125539768,0,0,12,14,297284,0,0,5
1/1/2015,S1F035SJ,0,220392160,0,0,0,9,389730,0,0,0
1/1/2015,S1F0377V,0,166567552,0,0,23,14,321308,0,0,8
1/1/2015,S1F039FE,0,218786520,0,0,6,4,394782,0,0,2
1/1/2015,S1F03RV3,0,176851840,0,0,0,8,258058,0,0,0
1/1/2015,S1F03YZM,0,55587136,0,0,0,7,199132,0,0,0
1/1/2015,S1F044ET,0,161730848,0,0,0,5,226578,0,0,0
1/1/2015,S1F049RX,0,181980928,0,0,4,7,395719,0,0,0
1/1/2015,S1F04DH8,0,134506192,0,9,0,16,324354,0,0,145
1/1/2015,S1F04KSC,0,105234552,392,24929,529,3,339205,0,0,10137
1/1/2015,S1F04MVQ,0,41356960,1984,0,46,4,367145,0,0,65
1/1/2015,S1F04R7Y,0,126680112,0,0,0,7,398672,0,0,51
1/1/2015,S1F04TS4,0,11041528,0,0,8,6,385366,0,0,1
1/1/2015,S1F04Y6C,0,121664216,0,0,7,3,388821,0,0,0
1/1/2015,S1F059G0,0,131625384,0,14,0,3,399158,0,0,255
1/1/2015,S1F05AFP,0,182270456,0,0,2,3,378044,0,0,0
1/1/2015,S1F05B1Q,0,163784840,0,0,7,4,387410,0,0,57
1/1/2015,S1F05NAJ,0,133978568,192,0,0,4,336806,0,0,1
1/1/2015,S1F05P51,0,188415568,496,0,0,5,331171,0,0,0
1/1/2015,S1F05P5Z,0,212782472,928,0,3,4,331390,0,0,0
1/1/2015,S1F06E04,0,67826320,1952,0,12,5,375985,0,0,0
1/1/2015,S1F06F7K,0,124661944,128,0,0,4,383073,0,0,1
1/1/2015,S1F06R6W,0,107727520,0,0,0,2,397732,0,0,3
1/1/2015,S1F06ZX2,0,118304768,0,0,0,9,403791,0,0,0
1/1/2015,S1F08R94,0,193299520,0,1,0,4,325723,0,0,0
1/1/2015,S1F08S38,0,36835520,744,3,2,4,333898,0,0,6
1/1/2015,S1F09DZQ,0,12568128,136,0,2,6,380112,0,0,2
1/1/2015,S1F09MAK,0,9461552,7928,0,7,3,306534,0,0,4
1/1/2015,S1F09MSM,0,150282408,360,0,0,3,338226,0,0,2
1/1/2015,S1F0A1PX,0,32240224,0,0,0,4,330480,0,0,0
1/1/2015,S1F0A1VP,0,214406240,8,1,8,4,337452,0,0,1
